,event,link,description,when,location,price,target_age,organization
0,"Little Sprouts 
– Fall Fun",https://sheldrakeenvironmentalcenter.app.neoncrm.com/eventReg.jsp?event=1073&,"Get outside with other families and a naturalist at Sheldrake, as you discover nature with your little one. This class is designed to expose children to the joys of nature at a young age, towards the goal of cultivating a life-long love of the natural world. Adventures for wee ones might include looking for frogs, listening to birdsong, studying animal tracks, storytime, games, or crafts. There’s no shortage of educational fun on Sheldrake’s 60 acres!","Thursdays, September 25 - November 20, 2025, 10:00-11:00 am (8 weeks; class doesn't meet on 10/2)","Sheldrake, 685 Weaver St, Larchmont, NY 10538",Free,2 years old with adult caregiver,Sheldrake Environmental Center
1,Forest Friends – Fall Wednesdays,https://sheldrakecenter.org/event/forest-friends-fall-wednesdays-3/,"Fall fun awaits at Sheldrake’s popular program for preschool-aged children. Get the kids outside for STEM fun and adventures on our 60 acres of protected land. Through a combination of trail exploration, games, stories, and other activities, we’ll enjoy loads of nature fun while observing the impact of the changing season on wildlife and habitats. Our naturalist-led program provides the opportunity for enrichment, connection with nature, and the company of other young enthusiasts.Our Forest Friends: get hands-on experience with science and nature on a 60-acre nature conservancy, learn about the animals and plant life that call Sheldrake home, savor the splendor of fall while observing how the natural world transitions to winter, foster appreciation for the natural world and establish the foundation for a life-long love of nature.","Wednesdays, October 8 - December 17, 2025 (10 weeks, class does not meet on 11/26), 3:45-4:45 pm","Sheldrake Environmental Center, 685 Weaver St, Larchmont, NY 10538",$240 (members) / $270 (nonmembers),3-5 years old,Sheldrake Environmental Center
2,Season’s Eatings: Make a Holiday Feast for the Birds – FREE!,https://sheldrakecenter.org/event/seasons-eatings-make-a-holiday-feast-for-the-birds-free/,"Join us in search of the birds that winter at Sheldrake, and help us get them holiday-ready. We’ll make pinecone feeders both to leave behind at Sheldrake and to take home for our backyard friends. Part of the Sheldrake Second Saturday Series of free family programs, made possible by a generous grant from Con Edison. This program is not a drop-off; children must be accompanied by an adult. The event will be conducted entirely outdoors. Please leave pets at home.","Saturday, December 13, 2025, 10:00 AM - 11:00 AM","Sheldrake, 685 Weaver St, Larchmont, NY 10538",Free,"5 and up, families",Sheldrake Environmental Center
