,event,link,description,when,location,price,target_age,organization
0,In Our Backyard: The Local Impact of Immigration Crackdowns,https://forms.gle/UuMJ7o4rggXRh9Y19,"In recent months the federal government has ramped up efforts to arrest and deport immigrants around the country. Dozens of families from our own community have been directly impacted, and countless others–many of whom have spent years pursuing legal residency–fear being apprehended themselves. Jirandy Martinez, Executive Director and Bertha Rodriguez, Managing Attorney of Mamaroneck’s Community Resource Center will join us to share their stories, as well as Sabina Calle, Marriage and Family Therapist, Community Counseling Center.",2025-11-19T08:00:00,"Nautilus Diner1240 W Boston Post Rd, Mamaroneck, NY","$12, Bagel and Coffee Breakfast",adults,The Larchmont-Mamaroneck Local Summit
1,Monthly Program,https://www.localsummitlm.org/events.html,Our monthly programs are held in person at the Nautilus Diner. Meetings will begin at 8:00 am and run until 9:00 am. Topics and speakers will be posted closer to the meeting dates.,2025-12-09T08:00:00,Nautilus Diner,,adults,The Larchmont-Mamaroneck Local Summit
