,event,link,description,when,location,price,target_age,organization
0,TRIVIA!,https://www.marloweales.com/hghg,Every Wednesday Night @7pm. Free to play! Win prizes! Hosted By Best Trivia Ever!,2025-11-20T19:00:00,"139 Hoyt Ave, Suite A Mamaroneck, NY 10543",Free to play!,adults,Marlowe Artisanal Ales
1,BURGER NIGHT!,https://www.marloweales.com/hghg,Thursdays are burger night! Get a single smash burger and a mug pour (any beer with a mug price) for $20!,2025-11-20T00:00:00,"139 Hoyt Ave, Suite A Mamaroneck, NY 10543",$20,adults,Marlowe Artisanal Ales
2,VINYL NIGHT,https://www.marloweales.com/hghg,Bring your favorite vinyl and be in the running to win a prize!,2025-03-20T00:00:00,"139 Hoyt Ave, Suite A Mamaroneck, NY 10543",,adults,Marlowe Artisanal Ales
