,event,link,description,when,location,price,target_age,organization
0,Dec. 8: Member Holiday Dinner,https://www.mamaroneckhistoricalsociety.org/new-events/2025/12/8/dec-8-member-holiday-dinner,"The Mamaroneck Historical Society's Member Holiday Dinner will take place Monday, Dec. 8, at Alessia's Trattoria, 551 Halstead Avenue, Mamaroneck.

Cost is $60 by check or $65 online. See the flyer for details on how to RSVP. To buy tickets online tap on the flyer to go to our [Support/Donate page.](/support)

Member Holiday Dinner flyer","Monday, December 8, 2025, 6:30 PM - 8:30 PM","Alessia's Trattoria, 551 Halstead Avenue, Mamaroneck, NY, 10543 United States",$60 by check or $65 online,adults,Mamaroneck Historical Society
1,Nov. 18: Veterans program at Members Get-together,https://www.mamaroneckhistoricalsociety.org/new-events/2025/11/18/nov-18-veterans-program-at-members-get-together,"A program on World War II veterans will be featured at the Mamaroneck Historical Society's November Members Get-together. The meeting is 7 p.m. Tuesday, Nov. 18, at the Woman's Club of Mamaroneck, 504 Cortlandt Avenue. We will be showing a program produced by a former Historical Society president, William Fraser, that showcased World War II veterans who fought during the battles of Okinawa in the Marines and Navy. Several heroic stories will be retold of action that took place during the battle. Tales of saving lives during kamikaze attacks told by local Mamaroneck boys are part of the forgotten details retold by men who were actually there.","Tuesday, November 18, 2025, 7:00 PM - 9:00 PM","Woman's Club of Mamaroneck, 504 Cortlandt Avenue, Mamaroneck, NY, 10543 United States",,adults,Mamaroneck Historical Society
2,Oct. 21 Members Get-together: Revolutionary Westchester 250 event plans,https://www.mamaroneckhistoricalsociety.org/new-events/2025/10/7/oct-21-members-get-together-revolutionary-westchester-250-event-plans,"Upcoming events celebrating the 250th anniversary of the Revolutionary War will be the topic at the October Mamaroneck Historical Society Members Get-together. Society President John Pritts will speak during the meeting, 7 p.m. Tuesday, Oct. 21, at the Woman's Club of Mamaroneck, 504 Cortlandt Avenue. Revolutionary War 250 is planning on big events to celebrate Westchester’s part in our early efforts for freedom from the British. In October of 1776 the Skirmish on Heathcote Hill took place right here in our town. 750 American troops were sent by George Washington stationed in White Plains to surprise British troops camped on Heathcote Hill under the leadership of Colonel Rogers. Rogers' headquarters was the original schoolhouse located where Orienta Ave and Old White Plains Road meet today.","Tuesday, October 21, 2025, 7:00 PM - 9:00 PM","Woman's Club of Mamaroneck, 504 Cortlandt Avenue. Mamaroneck, NY 10543",,adults,Mamaroneck Historical Society
