,event,link,description,when,location,price,target_age,organization
0,2025 after school workshops \ MIXED MEDIA fall session 2 \ grades 2 - 6,https://app.getoccasion.com/p/n/V5dg9XFV,"THURSDAYS 3:30 - 5p | grades 2 through 6 * this class is strictly for ages 7 - 11 FALL SESSION 1 - 6 weeks thursdays: oct 30 - dec 11 * there is no class on nov 27 the perfect way to unwind and get creative after school! our after school art workshops explore all mediums including painting, pottery, drawing, mixed media, wet clay, mosaics & more!",2025-11-20T15:30:00,"118 W. Boston Post Road, Mamaroneck, NY 10543",50% deposit due at registration. the balance will be collected one week before class starts.,7-11,MADE: My Art and Design
1,DROP-OFF WORKSHOP | Thanksgiving mini-camp,https://app.getoccasion.com/p/n/kfdmQdn2,"Kids will choose between several Thanksgiving themed mosaics (pumpkin spice donut, pie, turkey, & others), and then will create a fall holiday canvas to display at home on Thanksgiving day!",2025-11-27T14:00:00,"118 W. Boston Post Road, Mamaroneck, NY 10543",$90.32,grade 1 and up,MADE: My Art and Design
