,event,link,description,when,location,price,target_age,organization
0,LNC Monthly Coffee Morning - October,https://www.larchmontnewcomersclub.com/pages/event-calendar,"Casual coffee, light bites, and conversation",2025-10-16T09:30:00-04:00,Member's home (details emailed to RSVP'd attendees),,adults,Larchmont Newcomers Club
1,Stroller Walk x Bluestone Lane + AG1,https://www.larchmontnewcomersclub.com/pages/event-calendar,Meet us at Bluestone Lane for a fall foliage walk around Larchmont. You'll have ...,2025-10-17T10:00:00-04:00,Bluestone Lane Larchmont,RSVP Free,"kids, adults",Larchmont Newcomers Club
2,LNC Book Club: We Have Always Lived in the Castle,https://www.larchmontnewcomersclub.com/pages/event-calendar,LNC Book Club: We Have Always Lived in the Castle,2025-10-20T19:00:00-04:00,Member's home (details emailed to RSVP'd attendees),RSVP Free,adults,Larchmont Newcomers Club
3,Halloween Wine Tasting at Post Wines,https://www.larchmontnewcomersclub.com/pages/event-calendar,Celebrate the spirit of the season with curated wines and seasonal cocktails as ...,2025-10-23T19:00:00-04:00,"Post Wines, Larchmont",,adults,Larchmont Newcomers Club
4,Kids Halloween Ceramic Pumpkin Painting Party,https://www.larchmontnewcomersclub.com/pages/event-calendar,Get into the spooky spirit with us! Kids will decorate their very own ceramic pu...,2025-10-24T16:30:00-04:00,new rochelle,Purchase Ticket,kids,Larchmont Newcomers Club
5,Flower Arranging Class at The Flower Bar,https://www.larchmontnewcomersclub.com/pages/event-calendar,Join Us for a Floral Design Night with LNC!Come together with fellow LNC members...,2025-11-05T19:00:00-05:00,"The Flower Bar, Larchmont",Purchase Ticket,adults,Larchmont Newcomers Club
6,LNC Night Out - November,https://www.larchmontnewcomersclub.com/pages/event-calendar,Join us for a fun night out at Billy & Pete's!,2025-11-13T19:30:00-05:00,Billy & Pete's Social,Purchase Ticket,adults,Larchmont Newcomers Club
7,LNC Monthly Coffee Morning - November,https://www.larchmontnewcomersclub.com/pages/event-calendar,Join us for a special fall-themed coffee morning!,2025-11-21T09:30:00-05:00,Member's home (details emailed to RSVP'd attendees),RSVP,adults,Larchmont Newcomers Club
